Materia,Semestre,Calificacion
estadistica,primero,diez
finanzas,tercero,seis
matematicas,primero,ocho
matematicas,primero,seis
biologia,cuarto,siete
matematicas,quinto,nueve
mineria,tercero,ocho
matematicas,quinto,seis
mineria,segundo,seis
estadistica,primero,ocho
matematicas,tercero,diez
mineria,segundo,diez
biologia,cuarto,ocho
estadistica,quinto,seis
biologia,quinto,nueve
biologia,cuarto,nueve
estadistica,quinto,nueve
mineria,quinto,nueve
matematicas,segundo,seis
finanzas,segundo,diez
biologia,cuarto,siete
matematicas,tercero,nueve
mineria,tercero,ocho
matematicas,tercero,nueve
biologia,primero,siete
mineria,segundo,siete
finanzas,tercero,siete
estadistica,quinto,siete
matematicas,segundo,siete
mineria,segundo,ocho
mineria,segundo,siete
biologia,cuarto,nueve
finanzas,cuarto,diez
estadistica,quinto,diez
mineria,segundo,siete
estadistica,quinto,nueve
estadistica,quinto,diez
biologia,segundo,seis
finanzas,tercero,nueve
biologia,tercero,ocho
estadistica,cuarto,nueve
matematicas,segundo,nueve
mineria,segundo,siete
finanzas,tercero,nueve
biologia,cuarto,ocho
estadistica,segundo,diez
estadistica,quinto,nueve
estadistica,segundo,seis
mineria,quinto,diez
mineria,cuarto,seis
finanzas,segundo,seis
biologia,quinto,seis
matematicas,quinto,diez
biologia,quinto,siete
biologia,quinto,seis
mineria,cuarto,siete
biologia,primero,seis
mineria,quinto,ocho
matematicas,primero,diez
estadistica,quinto,siete
matematicas,segundo,seis
estadistica,cuarto,ocho
estadistica,quinto,siete
mineria,quinto,diez
matematicas,primero,seis
matematicas,segundo,nueve
matematicas,primero,nueve
estadistica,tercero,ocho
matematicas,cuarto,seis
matematicas,segundo,siete
finanzas,primero,nueve
mineria,cuarto,nueve
mineria,cuarto,siete
estadistica,primero,diez
mineria,primero,nueve
biologia,segundo,nueve
matematicas,tercero,seis
finanzas,cuarto,diez
finanzas,tercero,seis
mineria,primero,seis
estadistica,primero,siete
matematicas,primero,siete
finanzas,primero,ocho
mineria,segundo,nueve
finanzas,segundo,ocho
estadistica,primero,diez
matematicas,tercero,ocho
finanzas,primero,diez
mineria,quinto,diez
biologia,tercero,seis
finanzas,tercero,ocho
mineria,segundo,seis
biologia,segundo,nueve
biologia,primero,ocho
estadistica,segundo,nueve
mineria,tercero,diez
mineria,quinto,nueve
biologia,cuarto,diez
matematicas,quinto,seis
finanzas,quinto,nueve
finanzas,tercero,diez
finanzas,quinto,diez
finanzas,tercero,seis
mineria,segundo,nueve
matematicas,tercero,seis
biologia,quinto,siete
finanzas,tercero,nueve
biologia,primero,ocho
mineria,quinto,siete
biologia,cuarto,siete
biologia,quinto,siete
matematicas,cuarto,diez
finanzas,primero,ocho
mineria,primero,seis
estadistica,quinto,ocho
estadistica,quinto,diez
biologia,cuarto,ocho
mineria,primero,ocho
estadistica,quinto,nueve
mineria,segundo,seis
mineria,segundo,diez
biologia,quinto,seis
biologia,primero,ocho
biologia,tercero,seis
estadistica,quinto,diez
mineria,tercero,nueve
mineria,quinto,seis
matematicas,primero,siete
biologia,quinto,siete
mineria,segundo,ocho
mineria,primero,ocho
matematicas,primero,ocho
estadistica,primero,nueve
biologia,segundo,seis
mineria,primero,siete
finanzas,quinto,diez
biologia,primero,seis
matematicas,primero,seis
finanzas,cuarto,diez
finanzas,cuarto,diez
estadistica,tercero,diez
finanzas,cuarto,diez
estadistica,segundo,seis
matematicas,primero,nueve
matematicas,segundo,ocho
mineria,primero,ocho
finanzas,segundo,diez
biologia,tercero,ocho
matematicas,cuarto,ocho
mineria,segundo,ocho
matematicas,tercero,seis
estadistica,cuarto,seis
matematicas,tercero,diez
biologia,segundo,siete
finanzas,cuarto,seis
biologia,cuarto,ocho
biologia,segundo,nueve
matematicas,segundo,siete
mineria,cuarto,siete
estadistica,primero,seis
estadistica,cuarto,nueve
estadistica,cuarto,siete
biologia,quinto,ocho
finanzas,quinto,nueve
finanzas,quinto,ocho
mineria,primero,seis
biologia,cuarto,siete
mineria,tercero,ocho
biologia,primero,diez
mineria,cuarto,diez
finanzas,tercero,nueve
biologia,cuarto,ocho
mineria,tercero,siete
finanzas,segundo,ocho
estadistica,quinto,siete
matematicas,primero,nueve
